Ingredient	Strength
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	1GM
METFORMIN HYDROCHLORIDE	1GM
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	1GM
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	1GM
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	500MG
METFORMIN HYDROCHLORIDE	750MG
METHYLPHENIDATE HYDROCHLORIDE	10MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	10MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	10MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	18MG
METHYLPHENIDATE HYDROCHLORIDE	27MG
METHYLPHENIDATE HYDROCHLORIDE	36MG
METHYLPHENIDATE HYDROCHLORIDE	54MG
METHYLPHENIDATE HYDROCHLORIDE	27MG
METHYLPHENIDATE HYDROCHLORIDE	36MG
METHYLPHENIDATE HYDROCHLORIDE	54MG
METHYLPHENIDATE HYDROCHLORIDE	18MG
METHYLPHENIDATE HYDROCHLORIDE	27MG
METHYLPHENIDATE HYDROCHLORIDE	36MG
METHYLPHENIDATE HYDROCHLORIDE	54MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METOPROLOL SUCCINATE	EQ 25MG TARTRATE
METOPROLOL SUCCINATE	EQ 50MG TARTRATE
METOPROLOL SUCCINATE	EQ 100MG TARTRATE
METOPROLOL SUCCINATE	EQ 200MG TARTRATE
METRONIDAZOLE	750MG
METRONIDAZOLE	750MG
PRAZOSIN HYDROCHLORIDE	2.5MG
PRAZOSIN HYDROCHLORIDE	5MG
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 65MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 115MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 55MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 45MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 80MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 90MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 105MG BASE
MINOCYCLINE HYDROCHLORIDE	EQ 135MG BASE
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	2.25MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	3.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
MORPHINE SULFATE	100MG
AMOXICILLIN	775MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
MORPHINE SULFATE	200MG
GUAIFENESIN	1.2GM
GUAIFENESIN	600MG
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE	1.2GM;120MG
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE	600MG;60MG
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN	30MG;600MG
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN	60MG;1.2GM
MIRABEGRON	25MG
MIRABEGRON	50MG
NAPROXEN SODIUM	EQ 375MG BASE
NAPROXEN SODIUM	EQ 500MG BASE
NAPROXEN SODIUM	EQ 750MG BASE
NAPROXEN SODIUM	EQ 375MG BASE
NAPROXEN SODIUM	EQ 500MG BASE
NAPROXEN SODIUM	EQ 750MG BASE
NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE	EQ 220MG BASE;120MG
NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE	EQ 200MG BASE;120MG
NEVIRAPINE	100MG
NEVIRAPINE	400MG
NEVIRAPINE	400MG
NEVIRAPINE	100MG
NEVIRAPINE	400MG
NEVIRAPINE	400MG
NEVIRAPINE	100MG
NEVIRAPINE	400MG
NEVIRAPINE	400MG
NIACIN	1GM
NIACIN	500MG
NIACIN	750MG
NIACIN	1GM
NIACIN	500MG
NIACIN	750MG
NIACIN	1GM
NIACIN	500MG
NIACIN	750MG
NIACIN	1GM
NIACIN	500MG
NIACIN	750MG
NIACIN	1GM
NIACIN	375MG
NIACIN	500MG
NIACIN	750MG
NIACIN	375MG;500MG;750MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	30MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NIFEDIPINE	30MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
NISOLDIPINE	8.5MG
NISOLDIPINE	17MG
NISOLDIPINE	20MG
NISOLDIPINE	25.5MG
NISOLDIPINE	30MG
NISOLDIPINE	34MG
NISOLDIPINE	40MG
ORPHENADRINE CITRATE	100MG
TAPENTADOL HYDROCHLORIDE	EQ 50MG BASE
TAPENTADOL HYDROCHLORIDE	EQ 100MG BASE
TAPENTADOL HYDROCHLORIDE	EQ 150MG BASE
TAPENTADOL HYDROCHLORIDE	EQ 200MG BASE
TAPENTADOL HYDROCHLORIDE	EQ 250MG BASE
TRAZODONE HYDROCHLORIDE	150MG 
TRAZODONE HYDROCHLORIDE	300MG 
OXYMORPHONE HYDROCHLORIDE	5MG 
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG 
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG 
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG 
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG 
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG 
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG 
OXYMORPHONE HYDROCHLORIDE	40MG
MORPHINE SULFATE	15MG
MORPHINE SULFATE	30MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	100MG
TREPROSTINIL DIOLAMINE	EQ 0.125MG BASE
TREPROSTINIL DIOLAMINE	EQ 0.25MG BASE
TREPROSTINIL DIOLAMINE	EQ 1MG BASE
TREPROSTINIL DIOLAMINE	EQ 2.5MG BASE
TREPROSTINIL DIOLAMINE	EQ 5MG BASE
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
ORPHENADRINE CITRATE	100MG
OXCARBAZEPINE	150MG
OXCARBAZEPINE	300MG
OXCARBAZEPINE	600MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYBUTYNIN CHLORIDE	5MG
OXYBUTYNIN CHLORIDE	10MG
OXYBUTYNIN CHLORIDE	15MG
OXYCODONE HYDROCHLORIDE	10MG
OXYCODONE HYDROCHLORIDE	15MG
OXYCODONE HYDROCHLORIDE	20MG
OXYCODONE HYDROCHLORIDE	30MG
OXYCODONE HYDROCHLORIDE	40MG
OXYCODONE HYDROCHLORIDE	60MG
OXYCODONE HYDROCHLORIDE	80MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
OXYMORPHONE HYDROCHLORIDE	5MG
OXYMORPHONE HYDROCHLORIDE	7.5MG
OXYMORPHONE HYDROCHLORIDE	10MG
OXYMORPHONE HYDROCHLORIDE	15MG
OXYMORPHONE HYDROCHLORIDE	20MG
OXYMORPHONE HYDROCHLORIDE	30MG
OXYMORPHONE HYDROCHLORIDE	40MG
PALIPERIDONE	1.5MG
PALIPERIDONE	3MG
PALIPERIDONE	6MG
PALIPERIDONE	9MG
PALIPERIDONE	1.5MG
PALIPERIDONE	3MG
PALIPERIDONE	6MG
PALIPERIDONE	9MG
PAROXETINE HYDROCHLORIDE	EQ 12.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 25MG BASE
PAROXETINE HYDROCHLORIDE	EQ 37.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 12.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 25MG BASE
PAROXETINE HYDROCHLORIDE	EQ 37.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 12.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 25MG BASE
PAROXETINE HYDROCHLORIDE	EQ 37.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 12.5MG BASE
PAROXETINE HYDROCHLORIDE	EQ 25MG BASE
PAROXETINE HYDROCHLORIDE	EQ 37.5MG BASE
TRIPELENNAMINE HYDROCHLORIDE	50MG
TRIPELENNAMINE HYDROCHLORIDE	100MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
PENTOXIFYLLINE	400MG
FLUPHENAZINE HYDROCHLORIDE	1MG
AMINOPHYLLINE	225MG
FELODIPINE	2.5MG 
FELODIPINE	5MG 
FELODIPINE	10MG 
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	20MEQ
POTASSIUM CHLORIDE	20MEQ
POTASSIUM CHLORIDE	8MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	20MEQ
POTASSIUM CHLORIDE	8MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	20MEQ
POTASSIUM CHLORIDE	8MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	20MEQ
POTASSIUM CHLORIDE	8MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CHLORIDE	10MEQ 
POTASSIUM CHLORIDE	20MEQ 
POTASSIUM CHLORIDE	8MEQ
POTASSIUM CHLORIDE	10MEQ
POTASSIUM CITRATE	5MEQ
POTASSIUM CITRATE	10MEQ
POTASSIUM CITRATE	5MEQ
POTASSIUM CITRATE	10MEQ
POTASSIUM CITRATE	15MEQ
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	2.25MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	3.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	2.25MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	3.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	2.25MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	3.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.375MG
PRAMIPEXOLE DIHYDROCHLORIDE	0.75MG
PRAMIPEXOLE DIHYDROCHLORIDE	1.5MG
PRAMIPEXOLE DIHYDROCHLORIDE	3MG
PRAMIPEXOLE DIHYDROCHLORIDE	4.5MG
PHENMETRAZINE HYDROCHLORIDE	50MG
PHENMETRAZINE HYDROCHLORIDE	75MG
DESVENLAFAXINE SUCCINATE	EQ 25MG BASE
DESVENLAFAXINE SUCCINATE	EQ 50MG BASE
DESVENLAFAXINE SUCCINATE	EQ 100MG BASE
PROCAINAMIDE HYDROCHLORIDE	1GM
PROCAINAMIDE HYDROCHLORIDE	250MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	750MG
PROCAINAMIDE HYDROCHLORIDE	250MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	750MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	1GM
PROCAINAMIDE HYDROCHLORIDE	250MG
PROCAINAMIDE HYDROCHLORIDE	250MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	750MG
PROCAINAMIDE HYDROCHLORIDE	750MG
PROCAINAMIDE HYDROCHLORIDE	250MG
PROCAINAMIDE HYDROCHLORIDE	1GM
PROCAINAMIDE HYDROCHLORIDE	500MG
PROCAINAMIDE HYDROCHLORIDE	750MG
PROCAINAMIDE HYDROCHLORIDE	1GM
PROCAINAMIDE HYDROCHLORIDE	500MG
NIFEDIPINE	30MG
NIFEDIPINE	60MG
NIFEDIPINE	90MG
PROCAINAMIDE HYDROCHLORIDE	500MG
CIPROFLOXACIN HYDROCHLORIDE	EQ 500MG BASE
ALBUTEROL SULFATE	EQ 4MG BASE
PSEUDOEPHEDRINE HYDROCHLORIDE	120MG
PSEUDOEPHEDRINE HYDROCHLORIDE	120MG
PSEUDOEPHEDRINE HYDROCHLORIDE	120MG
PYRIDOSTIGMINE BROMIDE	180MG
PYRIDOSTIGMINE BROMIDE	180MG
QUETIAPINE FUMARATE	EQ 150MG BASE
QUETIAPINE FUMARATE	EQ 200MG BASE
QUETIAPINE FUMARATE	EQ 300MG BASE
QUETIAPINE FUMARATE	EQ 400MG BASE
QUETIAPINE FUMARATE	EQ 50MG BASE
QUETIAPINE FUMARATE	EQ 150MG BASE
QUETIAPINE FUMARATE	EQ 200MG BASE
QUETIAPINE FUMARATE	EQ 300MG BASE
QUETIAPINE FUMARATE	EQ 400MG BASE
QUETIAPINE FUMARATE	EQ 50MG BASE
QUETIAPINE FUMARATE	EQ 150MG BASE
QUETIAPINE FUMARATE	EQ 200MG BASE
QUETIAPINE FUMARATE	EQ 300MG BASE
QUETIAPINE FUMARATE	EQ 400MG BASE
QUETIAPINE FUMARATE	EQ 50MG BASE
QUETIAPINE FUMARATE	EQ 150MG BASE
QUETIAPINE FUMARATE	EQ 200MG BASE
QUETIAPINE FUMARATE	EQ 300MG BASE
QUETIAPINE FUMARATE	EQ 400MG BASE
QUETIAPINE FUMARATE	EQ 50MG BASE
QUETIAPINE FUMARATE	EQ 150MG BASE
QUETIAPINE FUMARATE	EQ 200MG BASE
QUETIAPINE FUMARATE	EQ 300MG BASE
QUETIAPINE FUMARATE	EQ 400MG BASE
THEOPHYLLINE	300MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE SULFATE	300MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE GLUCONATE	324MG
QUINIDINE SULFATE	300MG
RANOLAZINE	1GM
RANOLAZINE	500MG
RANOLAZINE	500MG
RANOLAZINE	1GM
ROPINIROLE HYDROCHLORIDE	EQ 2MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 3MG BASE 
ROPINIROLE HYDROCHLORIDE	EQ 4MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 6MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 8MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 12MG BASE
DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE	6MG;120MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
ROPINIROLE HYDROCHLORIDE	EQ 2MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 4MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 6MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 8MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 12MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 2MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 4MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 6MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 8MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 12MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 2MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 4MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 6MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 8MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 12MG BASE
ROPINIROLE HYDROCHLORIDE	EQ 2MG BASE
